,totalconsumption,Month
0,70419.0,1
1,68801.0,2
2,59957.0,3
3,58090.0,4
4,62858.0,5
5,66761.0,6
6,71884.0,7
7,80293.04,8
8,90346.62,9
9,95961.7,10
10,64116.0,11
11,62147.0,12
