,totalconsumption,Month
0,35901.0,1
1,36478.0,2
2,32806.0,3
3,31826.0,4
4,35991.0,5
5,34870.0,6
6,35340.0,7
7,77308.0,8
8,56703.0,9
9,62131.0,10
10,66325.0,11
11,53607.0,12
